"","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Mid Summer Lounge, Champaign (Green Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Cracked on Green, Champaign (um, Green Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Manolo’s Pizza and Empanadas, Urbana (Oregon and Goodwin)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Signature Grill, Champaign (Green Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Boba, boba, boba]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Insomnia Cookies, Champaign (John Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Bread Company, Urbana (Goodwin Avenue, near Krannert Center)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Shawarma Joint, Champaign (Green Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Oozu Ramen, Champaign (Sixth Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Maize, Champaign (Green and First Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Murphy’s Pub, Champaign (Green Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Caffe Bene, Urbana (Gregory Street) and Champaign (Green Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Sakanaya, Champaign (Green Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Cocomero, Champaign (Wright Street)]","How do you like these restaurants near the campus?

https://www.chambanamoms.com/2022/10/10/campustown-places-to-eat-champaign-urbana/ [Just Bee Acai, Illini Union]"
"1",3,4,4,3,3,3,3,3,5,3,3,4,4,4,3
"2",4,3,3,2,4,2,3,3,4,4,3,5,5,3,3
"3",3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
"4",4,4,4,3,3,4,3,3,4,2,4,4,5,4,4
"5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"6",1,3,4,2,4,4,4,2,4,2,1,3,1,2,2
"7",3,3,3,4,2,3,5,2,3,4,1,5,5,3,3
"8",2,2,2,1,4,1,3,2,1,2,4,3,1,3,2
"9",3,3,3,3,4,5,5,3,3,3,3,4,3,4,3
"10",5,4,3,5,5,5,3,5,5,4,4,5,5,4,5
"11",4,3,3,3,5,3,2,3,5,3,2,3,5,5,3
"12",2,2,2,2,4,2,3,2,3,2,2,2,4,2,3
"13",5,3,5,5,3,4,5,5,4,3,4,5,5,3,3
"14",4,3,3,3,4,3,3,3,4,3,3,3,4,3,3
"15",4,2,2,2,3,2,3,2,5,2,2,2,2,2,2
"16",4,1,1,1,1,1,5,1,3,4,1,2,4,1,2
"17",5,1,1,2,4,2,1,2,3,1,1,5,5,5,2
"18",3,3,3,3,3,5,4,5,3,3,5,5,3,5,3
"19",4,4,4,4,3,4,4,3,3,4,5,3,5,4,3
"20",2,2,4,4,3,1,3,5,2,2,2,5,4,4,5
"21",3,1,3,3,3,5,3,5,1,5,1,2,3,4,3
"22",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"23",2,4,4,4,5,1,5,2,5,5,3,5,4,2,1
"24",4,2,2,2,4,2,2,2,2,2,2,2,4,3,3
"25",3,2,3,4,5,3,3,5,5,5,2,5,5,4,3
"26",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"27",5,3,3,3,3,3,3,3,3,3,3,3,5,3,3
"28",4,1,3,1,2,4,5,2,2,4,4,3,3,5,4
"29",3,3,3,4,3,3,3,3,5,5,3,3,3,3,3
"30",4,3,3,3,3,3,1,3,4,2,3,3,4,3,3
"31",2,3,4,1,3,4,2,4,1,2,2,3,2,2,1
"32",5,3,3,4,4,3,3,3,4,3,3,3,5,4,3
"33",3,2,4,4,3,3,3,3,2,1,5,2,2,2,3
"34",5,3,2,4,5,4,2,2,4,3,2,5,5,3,2
"35",4,4,3,4,5,3,3,2,5,2,4,4,3,3,3
"36",1,4,3,3,2,4,3,5,1,2,3,5,5,5,3
"37",5,3,3,3,5,3,3,3,5,3,3,3,3,3,3
"38",3,4,3,4,4,2,3,3,4,3,5,5,5,4,3
"39",2,3,3,4,5,4,3,3,5,3,3,3,5,3,1
"40",5,2,1,3,4,3,2,1,3,1,1,3,5,4,2
"41",5,3,3,3,5,4,3,3,3,1,3,4,3,3,5
